release_tag	release_commit	module	package	api_status	test_status	observed_percent
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/middleware/metrics	supported-adapter	direct-tests	74.3
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/middleware/openapi	supported-adapter	direct-tests	69.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/middleware/oteltrace	supported-adapter	direct-tests	66.1
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/middleware/requestlog	supported-adapter	direct-tests	69.0
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	contrib	github.com/aatuh/api-toolkit/contrib/v3/webhookdelivery	supported-adapter	direct-tests	66.7
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	(aggregate)	aggregate	aggregate	73.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/apiclient	stable	direct-tests	93.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/apitest	stable	direct-tests	78.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/authorization	stable	direct-tests	98.4
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/binding	stable	direct-tests	70.8
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/compat/billing	compatibility-only	direct-tests	no-statements
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/contracttest	stable	direct-tests	83.9
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/email	stable	direct-tests	no-statements
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/endpoints/docs	stable	direct-tests	59.1
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/endpoints/health	stable	direct-tests	62.9
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/endpoints/list	stable	direct-tests	77.2
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/endpoints/pprof	stable	direct-tests	93.3
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/endpoints/version	stable	direct-tests	50.0
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/fielderrors	stable	direct-tests	100.0
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/httpcache	stable	direct-tests	78.1
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/httpx	stable	direct-tests	63.7
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/httpx/identity	stable	direct-tests	45.7
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/httpx/recover	stable	direct-tests	53.3
v3.1.0	279dadf0eac51635e6eb7a02c71ae9285d20f66b	root	github.com/aatuh/api-toolkit/v3/idempotent	stable	direct-tests	77.8
